"District","FIPS","Year","Grade","Subject","Variable","Measure Type","Value"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 8","Math","AverageVSS","Number","2547"
"Achievement First Bridgeport Academy District","","2015-2016","All","ELA","Total Number of Students","Number","541"
"Achievement First Bridgeport Academy District","","2015-2016","All","Math","Total Number of Students","Number","541"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 11","ELA","Total Number of Students","Number","-6666"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 11","Math","Total Number of Students","Number","-6666"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 3","ELA","Total Number of Students","Number","87"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 3","Math","Total Number of Students","Number","87"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 4","ELA","Total Number of Students","Number","92"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 4","Math","Total Number of Students","Number","92"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 5","ELA","Total Number of Students","Number","89"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 5","Math","Total Number of Students","Number","89"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 6","ELA","Total Number of Students","Number","93"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 6","Math","Total Number of Students","Number","93"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 7","ELA","Total Number of Students","Number","90"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 7","Math","Total Number of Students","Number","90"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 8","ELA","Total Number of Students","Number","90"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 8","Math","Total Number of Students","Number","90"
"Achievement First Bridgeport Academy District","","2015-2016","All","ELA","Total Number Tested","Number","540"
"Achievement First Bridgeport Academy District","","2015-2016","All","Math","Total Number Tested","Number","540"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 11","ELA","Total Number Tested","Number","-6666"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 11","Math","Total Number Tested","Number","-6666"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 3","ELA","Total Number Tested","Number","87"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 3","Math","Total Number Tested","Number","87"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 4","ELA","Total Number Tested","Number","91"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 4","Math","Total Number Tested","Number","91"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 5","ELA","Total Number Tested","Number","89"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 5","Math","Total Number Tested","Number","89"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 6","ELA","Total Number Tested","Number","93"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 6","Math","Total Number Tested","Number","93"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 7","ELA","Total Number Tested","Number","90"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 7","Math","Total Number Tested","Number","90"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 8","ELA","Total Number Tested","Number","90"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 8","Math","Total Number Tested","Number","90"
"Achievement First Bridgeport Academy District","","2015-2016","All","ELA","Smarter Balanced Participation Rate","Percent","99.8"
"Achievement First Bridgeport Academy District","","2015-2016","All","Math","Smarter Balanced Participation Rate","Percent","99.8"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 11","ELA","Smarter Balanced Participation Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 11","Math","Smarter Balanced Participation Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 3","ELA","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 3","Math","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 4","ELA","Smarter Balanced Participation Rate","Percent","98.9"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 4","Math","Smarter Balanced Participation Rate","Percent","98.9"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 5","ELA","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 5","Math","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 6","ELA","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 6","Math","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 7","ELA","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 7","Math","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 8","ELA","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 8","Math","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Bridgeport Academy District","","2015-2016","All","ELA","Total Number with Scored Tests","Number","540"
"Achievement First Bridgeport Academy District","","2015-2016","All","Math","Total Number with Scored Tests","Number","540"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 11","ELA","Total Number with Scored Tests","Number","-6666"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 11","Math","Total Number with Scored Tests","Number","-6666"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 3","ELA","Total Number with Scored Tests","Number","87"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 3","Math","Total Number with Scored Tests","Number","87"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 4","ELA","Total Number with Scored Tests","Number","91"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 4","Math","Total Number with Scored Tests","Number","91"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 5","ELA","Total Number with Scored Tests","Number","89"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 5","Math","Total Number with Scored Tests","Number","89"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 6","ELA","Total Number with Scored Tests","Number","93"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 6","Math","Total Number with Scored Tests","Number","93"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 7","ELA","Total Number with Scored Tests","Number","90"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 7","Math","Total Number with Scored Tests","Number","90"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 8","ELA","Total Number with Scored Tests","Number","90"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 8","Math","Total Number with Scored Tests","Number","90"
"Achievement First Bridgeport Academy District","","2015-2016","All","ELA","AverageVSS","Number","-6666"
"Achievement First Bridgeport Academy District","","2015-2016","All","Math","AverageVSS","Number","-6666"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 11","ELA","AverageVSS","Number","-6666"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 11","Math","AverageVSS","Number","-6666"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 3","ELA","AverageVSS","Number","2451"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 3","Math","AverageVSS","Number","2492"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 4","ELA","AverageVSS","Number","2497"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 4","Math","AverageVSS","Number","2495"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 5","ELA","AverageVSS","Number","2476"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 5","Math","AverageVSS","Number","2471"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 6","ELA","AverageVSS","Number","2484"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 6","Math","AverageVSS","Number","2473"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 7","ELA","AverageVSS","Number","2522"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 7","Math","AverageVSS","Number","2515"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 8","ELA","AverageVSS","Number","2582"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 8","Math","AverageVSS","Number","2575"
"Achievement First Hartford Academy District","","2014-2015","All","ELA","Total Number of Students","Number","551"
"Achievement First Hartford Academy District","","2014-2015","All","Math","Total Number of Students","Number","551"
"Achievement First Hartford Academy District","","2014-2015","Grade 11","ELA","Total Number of Students","Number","31"
"Achievement First Hartford Academy District","","2014-2015","Grade 11","Math","Total Number of Students","Number","31"
"Achievement First Hartford Academy District","","2014-2015","Grade 3","ELA","Total Number of Students","Number","79"
"Achievement First Hartford Academy District","","2014-2015","Grade 3","Math","Total Number of Students","Number","79"
"Achievement First Hartford Academy District","","2014-2015","Grade 4","ELA","Total Number of Students","Number","80"
"Achievement First Hartford Academy District","","2014-2015","Grade 4","Math","Total Number of Students","Number","80"
"Achievement First Hartford Academy District","","2014-2015","Grade 5","ELA","Total Number of Students","Number","146"
"Achievement First Hartford Academy District","","2014-2015","Grade 5","Math","Total Number of Students","Number","146"
"Achievement First Hartford Academy District","","2014-2015","Grade 6","ELA","Total Number of Students","Number","79"
"Achievement First Hartford Academy District","","2014-2015","Grade 6","Math","Total Number of Students","Number","79"
"Achievement First Hartford Academy District","","2014-2015","Grade 7","ELA","Total Number of Students","Number","77"
"Achievement First Hartford Academy District","","2014-2015","Grade 7","Math","Total Number of Students","Number","77"
"Achievement First Hartford Academy District","","2014-2015","Grade 8","ELA","Total Number of Students","Number","59"
"Achievement First Hartford Academy District","","2014-2015","Grade 8","Math","Total Number of Students","Number","59"
"Achievement First Hartford Academy District","","2014-2015","All","ELA","Total Number Tested","Number","548"
"Achievement First Hartford Academy District","","2014-2015","All","Math","Total Number Tested","Number","547"
"Achievement First Hartford Academy District","","2014-2015","Grade 11","ELA","Total Number Tested","Number","31"
"Achievement First Hartford Academy District","","2014-2015","Grade 11","Math","Total Number Tested","Number","31"
"Achievement First Hartford Academy District","","2014-2015","Grade 3","ELA","Total Number Tested","Number","79"
"Achievement First Hartford Academy District","","2014-2015","Grade 3","Math","Total Number Tested","Number","78"
"Achievement First Hartford Academy District","","2014-2015","Grade 4","ELA","Total Number Tested","Number","80"
"Achievement First Hartford Academy District","","2014-2015","Grade 4","Math","Total Number Tested","Number","80"
"Achievement First Hartford Academy District","","2014-2015","Grade 5","ELA","Total Number Tested","Number","146"
"Achievement First Hartford Academy District","","2014-2015","Grade 5","Math","Total Number Tested","Number","146"
"Achievement First Hartford Academy District","","2014-2015","Grade 6","ELA","Total Number Tested","Number","79"
"Achievement First Hartford Academy District","","2014-2015","Grade 6","Math","Total Number Tested","Number","79"
"Achievement First Hartford Academy District","","2014-2015","Grade 7","ELA","Total Number Tested","Number","74"
"Achievement First Hartford Academy District","","2014-2015","Grade 7","Math","Total Number Tested","Number","74"
"Achievement First Hartford Academy District","","2014-2015","Grade 8","ELA","Total Number Tested","Number","59"
"Achievement First Hartford Academy District","","2014-2015","Grade 8","Math","Total Number Tested","Number","59"
"Achievement First Hartford Academy District","","2014-2015","All","ELA","Smarter Balanced Participation Rate","Percent","99.5"
"Achievement First Hartford Academy District","","2014-2015","All","Math","Smarter Balanced Participation Rate","Percent","99.3"
"Achievement First Hartford Academy District","","2014-2015","Grade 11","ELA","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Hartford Academy District","","2014-2015","Grade 11","Math","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Hartford Academy District","","2014-2015","Grade 3","ELA","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Hartford Academy District","","2014-2015","Grade 3","Math","Smarter Balanced Participation Rate","Percent","98.7"
"Achievement First Hartford Academy District","","2014-2015","Grade 4","ELA","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Hartford Academy District","","2014-2015","Grade 4","Math","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Hartford Academy District","","2014-2015","Grade 5","ELA","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Hartford Academy District","","2014-2015","Grade 5","Math","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Hartford Academy District","","2014-2015","Grade 6","ELA","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Hartford Academy District","","2014-2015","Grade 6","Math","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Hartford Academy District","","2014-2015","Grade 7","ELA","Smarter Balanced Participation Rate","Percent","96.1"
"Achievement First Hartford Academy District","","2014-2015","Grade 7","Math","Smarter Balanced Participation Rate","Percent","96.1"
"Achievement First Hartford Academy District","","2014-2015","Grade 8","ELA","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Hartford Academy District","","2014-2015","Grade 8","Math","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Hartford Academy District","","2014-2015","All","ELA","Total Number with Scored Tests","Number","547"
"Achievement First Hartford Academy District","","2014-2015","All","Math","Total Number with Scored Tests","Number","546"
"Achievement First Hartford Academy District","","2014-2015","Grade 11","ELA","Total Number with Scored Tests","Number","31"
"Achievement First Hartford Academy District","","2014-2015","Grade 11","Math","Total Number with Scored Tests","Number","31"
"Achievement First Hartford Academy District","","2014-2015","Grade 3","ELA","Total Number with Scored Tests","Number","79"
"Achievement First Hartford Academy District","","2014-2015","Grade 3","Math","Total Number with Scored Tests","Number","78"
"Achievement First Hartford Academy District","","2014-2015","Grade 4","ELA","Total Number with Scored Tests","Number","80"
"Achievement First Hartford Academy District","","2014-2015","Grade 4","Math","Total Number with Scored Tests","Number","80"
"Achievement First Hartford Academy District","","2014-2015","Grade 5","ELA","Total Number with Scored Tests","Number","146"
"Achievement First Hartford Academy District","","2014-2015","Grade 5","Math","Total Number with Scored Tests","Number","146"
"Achievement First Hartford Academy District","","2014-2015","Grade 6","ELA","Total Number with Scored Tests","Number","79"
"Achievement First Hartford Academy District","","2014-2015","Grade 6","Math","Total Number with Scored Tests","Number","79"
"Achievement First Hartford Academy District","","2014-2015","Grade 7","ELA","Total Number with Scored Tests","Number","74"
"Achievement First Hartford Academy District","","2014-2015","Grade 7","Math","Total Number with Scored Tests","Number","74"
"Achievement First Hartford Academy District","","2014-2015","Grade 8","ELA","Total Number with Scored Tests","Number","58"
"Achievement First Hartford Academy District","","2014-2015","Grade 8","Math","Total Number with Scored Tests","Number","58"
"Achievement First Hartford Academy District","","2014-2015","All","ELA","AverageVSS","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","All","Math","AverageVSS","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","Grade 11","ELA","AverageVSS","Number","2622"
"Achievement First Hartford Academy District","","2014-2015","Grade 11","Math","AverageVSS","Number","2584"
"Achievement First Hartford Academy District","","2014-2015","Grade 3","ELA","AverageVSS","Number","2419"
"Achievement First Hartford Academy District","","2014-2015","Grade 3","Math","AverageVSS","Number","2437"
"Achievement First Hartford Academy District","","2014-2015","Grade 4","ELA","AverageVSS","Number","2458"
"Achievement First Hartford Academy District","","2014-2015","Grade 4","Math","AverageVSS","Number","2475"
"Achievement First Hartford Academy District","","2014-2015","Grade 5","ELA","AverageVSS","Number","2465"
"Achievement First Hartford Academy District","","2014-2015","Grade 5","Math","AverageVSS","Number","2436"
"Achievement First Hartford Academy District","","2014-2015","Grade 6","ELA","AverageVSS","Number","2492"
"Achievement First Hartford Academy District","","2014-2015","Grade 6","Math","AverageVSS","Number","2440"
"Achievement First Hartford Academy District","","2014-2015","Grade 7","ELA","AverageVSS","Number","2527"
"Achievement First Hartford Academy District","","2014-2015","Grade 7","Math","AverageVSS","Number","2495"
"Achievement First Hartford Academy District","","2014-2015","Grade 8","ELA","AverageVSS","Number","2525"
"Achievement First Hartford Academy District","","2014-2015","Grade 8","Math","AverageVSS","Number","2447"
"Achievement First Hartford Academy District","","2015-2016","All","ELA","Total Number of Students","Number","592"
"Achievement First Hartford Academy District","","2015-2016","All","Math","Total Number of Students","Number","592"
"Achievement First Hartford Academy District","","2015-2016","Grade 11","ELA","Total Number of Students","Number","-6666"
"Achievement First Hartford Academy District","","2015-2016","Grade 11","Math","Total Number of Students","Number","-6666"
"Achievement First Hartford Academy District","","2015-2016","Grade 3","ELA","Total Number of Students","Number","90"
"Achievement First Hartford Academy District","","2015-2016","Grade 3","Math","Total Number of Students","Number","90"
"Achievement First Hartford Academy District","","2015-2016","Grade 4","ELA","Total Number of Students","Number","91"
"Achievement First Hartford Academy District","","2015-2016","Grade 4","Math","Total Number of Students","Number","91"
"Achievement First Hartford Academy District","","2015-2016","Grade 5","ELA","Total Number of Students","Number","144"
"Achievement First Hartford Academy District","","2015-2016","Grade 5","Math","Total Number of Students","Number","144"
"Achievement First Hartford Academy District","","2015-2016","Grade 6","ELA","Total Number of Students","Number","145"
"Achievement First Hartford Academy District","","2015-2016","Grade 6","Math","Total Number of Students","Number","145"
"Achievement First Hartford Academy District","","2015-2016","Grade 7","ELA","Total Number of Students","Number","57"
"Achievement First Hartford Academy District","","2015-2016","Grade 7","Math","Total Number of Students","Number","57"
"Achievement First Hartford Academy District","","2015-2016","Grade 8","ELA","Total Number of Students","Number","65"
"Achievement First Hartford Academy District","","2015-2016","Grade 8","Math","Total Number of Students","Number","65"
"Achievement First Hartford Academy District","","2015-2016","All","ELA","Total Number Tested","Number","589"
"Achievement First Hartford Academy District","","2015-2016","All","Math","Total Number Tested","Number","586"
"Achievement First Hartford Academy District","","2015-2016","Grade 11","ELA","Total Number Tested","Number","-6666"
"Achievement First Hartford Academy District","","2015-2016","Grade 11","Math","Total Number Tested","Number","-6666"
"Achievement First Hartford Academy District","","2015-2016","Grade 3","ELA","Total Number Tested","Number","89"
"Achievement First Hartford Academy District","","2015-2016","Grade 3","Math","Total Number Tested","Number","88"
"Achievement First Hartford Academy District","","2015-2016","Grade 4","ELA","Total Number Tested","Number","91"
"Achievement First Hartford Academy District","","2015-2016","Grade 4","Math","Total Number Tested","Number","90"
"Achievement First Hartford Academy District","","2015-2016","Grade 5","ELA","Total Number Tested","Number","144"
"Achievement First Hartford Academy District","","2015-2016","Grade 5","Math","Total Number Tested","Number","143"
"Achievement First Hartford Academy District","","2015-2016","Grade 6","ELA","Total Number Tested","Number","144"
"Achievement First Hartford Academy District","","2015-2016","Grade 6","Math","Total Number Tested","Number","143"
"Achievement First Hartford Academy District","","2015-2016","Grade 7","ELA","Total Number Tested","Number","57"
"Achievement First Hartford Academy District","","2015-2016","Grade 7","Math","Total Number Tested","Number","57"
"Achievement First Hartford Academy District","","2015-2016","Grade 8","ELA","Total Number Tested","Number","64"
"Achievement First Hartford Academy District","","2015-2016","Grade 8","Math","Total Number Tested","Number","65"
"Achievement First Hartford Academy District","","2015-2016","All","ELA","Smarter Balanced Participation Rate","Percent","99.5"
"Achievement First Hartford Academy District","","2015-2016","All","Math","Smarter Balanced Participation Rate","Percent","99.0"
"Achievement First Hartford Academy District","","2015-2016","Grade 11","ELA","Smarter Balanced Participation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2015-2016","Grade 11","Math","Smarter Balanced Participation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2015-2016","Grade 3","ELA","Smarter Balanced Participation Rate","Percent","98.9"
"Achievement First Hartford Academy District","","2015-2016","Grade 3","Math","Smarter Balanced Participation Rate","Percent","97.8"
"Achievement First Hartford Academy District","","2015-2016","Grade 4","ELA","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Hartford Academy District","","2015-2016","Grade 4","Math","Smarter Balanced Participation Rate","Percent","98.9"
"Achievement First Hartford Academy District","","2015-2016","Grade 5","ELA","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Hartford Academy District","","2015-2016","Grade 5","Math","Smarter Balanced Participation Rate","Percent","99.3"
"Achievement First Hartford Academy District","","2015-2016","Grade 6","ELA","Smarter Balanced Participation Rate","Percent","99.3"
"Achievement First Hartford Academy District","","2015-2016","Grade 6","Math","Smarter Balanced Participation Rate","Percent","98.6"
"Achievement First Hartford Academy District","","2015-2016","Grade 7","ELA","Smarter Balanced Participation Rate","Percent","100"
