"District","FIPS","Year","Grade","Subject","Variable","Measure Type","Value"
"Achievement First Bridgeport Academy District","","2014-2015","All","ELA","Total Number of Students","Number","564"
"Achievement First Bridgeport Academy District","","2014-2015","All","Math","Total Number of Students","Number","564"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 11","ELA","Total Number of Students","Number","29"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 11","Math","Total Number of Students","Number","29"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 3","ELA","Total Number of Students","Number","96"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 3","Math","Total Number of Students","Number","96"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 4","ELA","Total Number of Students","Number","89"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 4","Math","Total Number of Students","Number","89"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 5","ELA","Total Number of Students","Number","95"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 5","Math","Total Number of Students","Number","95"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 6","ELA","Total Number of Students","Number","89"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 6","Math","Total Number of Students","Number","89"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 7","ELA","Total Number of Students","Number","93"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 7","Math","Total Number of Students","Number","93"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 8","ELA","Total Number of Students","Number","73"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 8","Math","Total Number of Students","Number","73"
"Achievement First Bridgeport Academy District","","2014-2015","All","ELA","Total Number Tested","Number","564"
"Achievement First Bridgeport Academy District","","2014-2015","All","Math","Total Number Tested","Number","562"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 11","ELA","Total Number Tested","Number","29"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 11","Math","Total Number Tested","Number","27"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 3","ELA","Total Number Tested","Number","96"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 3","Math","Total Number Tested","Number","96"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 4","ELA","Total Number Tested","Number","89"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 4","Math","Total Number Tested","Number","89"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 5","ELA","Total Number Tested","Number","95"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 5","Math","Total Number Tested","Number","95"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 6","ELA","Total Number Tested","Number","89"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 6","Math","Total Number Tested","Number","89"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 7","ELA","Total Number Tested","Number","93"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 7","Math","Total Number Tested","Number","93"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 8","ELA","Total Number Tested","Number","73"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 8","Math","Total Number Tested","Number","73"
"Achievement First Bridgeport Academy District","","2014-2015","All","ELA","Smarter Balanced Participation Rate","Percent","100.0"
"Achievement First Bridgeport Academy District","","2014-2015","All","Math","Smarter Balanced Participation Rate","Percent","99.6"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 11","ELA","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 11","Math","Smarter Balanced Participation Rate","Percent","93.1"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 3","ELA","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 3","Math","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 4","ELA","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 4","Math","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 5","ELA","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 5","Math","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 6","ELA","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 6","Math","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 7","ELA","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 7","Math","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 8","ELA","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 8","Math","Smarter Balanced Participation Rate","Percent","100"
"Achievement First Bridgeport Academy District","","2014-2015","All","ELA","Total Number with Scored Tests","Number","564"
"Achievement First Bridgeport Academy District","","2014-2015","All","Math","Total Number with Scored Tests","Number","562"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 11","ELA","Total Number with Scored Tests","Number","29"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 11","Math","Total Number with Scored Tests","Number","27"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 3","ELA","Total Number with Scored Tests","Number","96"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 3","Math","Total Number with Scored Tests","Number","96"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 4","ELA","Total Number with Scored Tests","Number","89"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 4","Math","Total Number with Scored Tests","Number","89"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 5","ELA","Total Number with Scored Tests","Number","95"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 5","Math","Total Number with Scored Tests","Number","95"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 6","ELA","Total Number with Scored Tests","Number","89"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 6","Math","Total Number with Scored Tests","Number","89"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 7","ELA","Total Number with Scored Tests","Number","93"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 7","Math","Total Number with Scored Tests","Number","93"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 8","ELA","Total Number with Scored Tests","Number","73"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 8","Math","Total Number with Scored Tests","Number","73"
"Achievement First Bridgeport Academy District","","2014-2015","All","ELA","AverageVSS","Number","-6666"
"Achievement First Bridgeport Academy District","","2014-2015","All","Math","AverageVSS","Number","-6666"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 11","ELA","AverageVSS","Number","2577"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 11","Math","AverageVSS","Number","2570"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 3","ELA","AverageVSS","Number","2386"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 3","Math","AverageVSS","Number","2407"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 4","ELA","AverageVSS","Number","2459"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 4","Math","AverageVSS","Number","2459"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 5","ELA","AverageVSS","Number","2454"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 5","Math","AverageVSS","Number","2425"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 6","ELA","AverageVSS","Number","2505"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 6","Math","AverageVSS","Number","2455"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 7","ELA","AverageVSS","Number","2518"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 7","Math","AverageVSS","Number","2503"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 8","ELA","AverageVSS","Number","2577"
