"District","FIPS","Year","Subject","Variable","Measure Type","Value"
"Achievement First Bridgeport Academy District","","2015-2016","Math","Total Number of Students","Number","541"
"Achievement First Bridgeport Academy District","","2015-2016","ELA","Total Number Tested","Number","540"
"Achievement First Bridgeport Academy District","","2015-2016","Math","Total Number Tested","Number","540"
"Achievement First Bridgeport Academy District","","2015-2016","ELA","Smarter Balanced Participation Rate","Percent","99.8"
"Achievement First Bridgeport Academy District","","2015-2016","Math","Smarter Balanced Participation Rate","Percent","99.8"
"Achievement First Bridgeport Academy District","","2015-2016","ELA","Total Number with Scored Tests","Number","540"
"Achievement First Bridgeport Academy District","","2015-2016","Math","Total Number with Scored Tests","Number","540"
"Achievement First Bridgeport Academy District","","2015-2016","ELA","Level 1 Not Met Count","Number","141"
"Achievement First Bridgeport Academy District","","2015-2016","Math","Level 1 Not Met Count","Number","167"
"Achievement First Bridgeport Academy District","","2015-2016","ELA","Level 1 Not Met Percent","Percent","26.1"
"Achievement First Bridgeport Academy District","","2015-2016","Math","Level 1 Not Met Percent","Percent","30.9"
"Achievement First Bridgeport Academy District","","2015-2016","ELA","Level 2 Approaching Count","Number","152"
"Achievement First Bridgeport Academy District","","2015-2016","Math","Level 2 Approaching Count","Number","146"
"Achievement First Bridgeport Academy District","","2015-2016","ELA","Level 2 Approaching Percent","Percent","28.1"
"Achievement First Bridgeport Academy District","","2015-2016","Math","Level 2 Approaching Percent","Percent","27.0"
"Achievement First Bridgeport Academy District","","2015-2016","ELA","Level 3 Met Count","Number","139"
"Achievement First Bridgeport Academy District","","2015-2016","Math","Level 3 Met Count","Number","102"
"Achievement First Bridgeport Academy District","","2015-2016","ELA","Level 3 Met Percent","Percent","25.7"
"Achievement First Bridgeport Academy District","","2015-2016","Math","Level 3 Met Percent","Percent","18.9"
"Achievement First Bridgeport Academy District","","2015-2016","ELA","Level 4 Exceeded Count","Number","108"
"Achievement First Bridgeport Academy District","","2015-2016","Math","Level 4 Exceeded Count","Number","125"
"Achievement First Bridgeport Academy District","","2015-2016","ELA","Level 4 Exceeded Percent","Percent","20.0"
"Achievement First Bridgeport Academy District","","2015-2016","Math","Level 4 Exceeded Percent","Percent","23.1"
"Achievement First Bridgeport Academy District","","2015-2016","ELA","Level 3 & 4 Met or Exceeded Count","Number","247"
"Achievement First Bridgeport Academy District","","2015-2016","Math","Level 3 & 4 Met or Exceeded Count","Number","227"
"Achievement First Bridgeport Academy District","","2015-2016","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","45.7"
"Achievement First Bridgeport Academy District","","2015-2016","Math","Level 3 & 4 Met or Exceeded Percent","Percent","42.0"
"Achievement First Hartford Academy District","","2014-2015","ELA","Total Number of Students","Number","551"
"Achievement First Hartford Academy District","","2014-2015","Math","Total Number of Students","Number","551"
"Achievement First Hartford Academy District","","2014-2015","ELA","Total Number Tested","Number","548"
"Achievement First Hartford Academy District","","2014-2015","Math","Total Number Tested","Number","547"
"Achievement First Hartford Academy District","","2014-2015","ELA","Smarter Balanced Participation Rate","Percent","99.5"
"Achievement First Hartford Academy District","","2014-2015","Math","Smarter Balanced Participation Rate","Percent","99.3"
"Achievement First Hartford Academy District","","2014-2015","ELA","Total Number with Scored Tests","Number","547"
"Achievement First Hartford Academy District","","2014-2015","Math","Total Number with Scored Tests","Number","546"
"Achievement First Hartford Academy District","","2014-2015","ELA","Level 1 Not Met Count","Number","179"
"Achievement First Hartford Academy District","","2014-2015","Math","Level 1 Not Met Count","Number","242"
"Achievement First Hartford Academy District","","2014-2015","ELA","Level 1 Not Met Percent","Percent","32.7"
"Achievement First Hartford Academy District","","2014-2015","Math","Level 1 Not Met Percent","Percent","44.3"
"Achievement First Hartford Academy District","","2014-2015","ELA","Level 2 Approaching Count","Number","140"
"Achievement First Hartford Academy District","","2014-2015","Math","Level 2 Approaching Count","Number","163"
"Achievement First Hartford Academy District","","2014-2015","ELA","Level 2 Approaching Percent","Percent","25.6"
"Achievement First Hartford Academy District","","2014-2015","Math","Level 2 Approaching Percent","Percent","29.9"
"Achievement First Hartford Academy District","","2014-2015","ELA","Level 3 Met Count","Number","166"
"Achievement First Hartford Academy District","","2014-2015","Math","Level 3 Met Count","Number","108"
"Achievement First Hartford Academy District","","2014-2015","ELA","Level 3 Met Percent","Percent","30.3"
"Achievement First Hartford Academy District","","2014-2015","Math","Level 3 Met Percent","Percent","19.8"
"Achievement First Hartford Academy District","","2014-2015","ELA","Level 4 Exceeded Count","Number","62"
"Achievement First Hartford Academy District","","2014-2015","Math","Level 4 Exceeded Count","Number","33"
"Achievement First Hartford Academy District","","2014-2015","ELA","Level 4 Exceeded Percent","Percent","11.3"
"Achievement First Hartford Academy District","","2014-2015","Math","Level 4 Exceeded Percent","Percent","6.0"
"Achievement First Hartford Academy District","","2014-2015","ELA","Level 3 & 4 Met or Exceeded Count","Number","228"
"Achievement First Hartford Academy District","","2014-2015","Math","Level 3 & 4 Met or Exceeded Count","Number","141"
"Achievement First Hartford Academy District","","2014-2015","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","41.7"
"Achievement First Hartford Academy District","","2014-2015","Math","Level 3 & 4 Met or Exceeded Percent","Percent","25.8"
"Achievement First Hartford Academy District","","2015-2016","ELA","Total Number of Students","Number","592"
"Achievement First Hartford Academy District","","2015-2016","Math","Total Number of Students","Number","592"
"Achievement First Hartford Academy District","","2015-2016","ELA","Total Number Tested","Number","589"
"Achievement First Hartford Academy District","","2015-2016","Math","Total Number Tested","Number","586"
"Achievement First Hartford Academy District","","2015-2016","ELA","Smarter Balanced Participation Rate","Percent","99.5"
"Achievement First Hartford Academy District","","2015-2016","Math","Smarter Balanced Participation Rate","Percent","99.0"
"Achievement First Hartford Academy District","","2015-2016","ELA","Total Number with Scored Tests","Number","589"
"Achievement First Hartford Academy District","","2015-2016","Math","Total Number with Scored Tests","Number","585"
"Achievement First Hartford Academy District","","2015-2016","ELA","Level 1 Not Met Count","Number","170"
"Achievement First Hartford Academy District","","2015-2016","Math","Level 1 Not Met Count","Number","222"
"Achievement First Hartford Academy District","","2015-2016","ELA","Level 1 Not Met Percent","Percent","28.9"
"Achievement First Hartford Academy District","","2015-2016","Math","Level 1 Not Met Percent","Percent","37.9"
"Achievement First Hartford Academy District","","2015-2016","ELA","Level 2 Approaching Count","Number","155"
"Achievement First Hartford Academy District","","2015-2016","Math","Level 2 Approaching Count","Number","189"
"Achievement First Hartford Academy District","","2015-2016","ELA","Level 2 Approaching Percent","Percent","26.3"
"Achievement First Hartford Academy District","","2015-2016","Math","Level 2 Approaching Percent","Percent","32.3"
"Achievement First Hartford Academy District","","2015-2016","ELA","Level 3 Met Count","Number","165"
"Achievement First Hartford Academy District","","2015-2016","Math","Level 3 Met Count","Number","97"
"Achievement First Hartford Academy District","","2015-2016","ELA","Level 3 Met Percent","Percent","28.0"
"Achievement First Hartford Academy District","","2015-2016","Math","Level 3 Met Percent","Percent","16.6"
"Achievement First Hartford Academy District","","2015-2016","ELA","Level 4 Exceeded Count","Number","99"
"Achievement First Hartford Academy District","","2015-2016","Math","Level 4 Exceeded Count","Number","77"
"Achievement First Hartford Academy District","","2015-2016","ELA","Level 4 Exceeded Percent","Percent","16.8"
"Achievement First Hartford Academy District","","2015-2016","Math","Level 4 Exceeded Percent","Percent","13.2"
"Achievement First Hartford Academy District","","2015-2016","ELA","Level 3 & 4 Met or Exceeded Count","Number","264"
"Achievement First Hartford Academy District","","2015-2016","Math","Level 3 & 4 Met or Exceeded Count","Number","174"
"Achievement First Hartford Academy District","","2015-2016","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","44.8"
"Achievement First Hartford Academy District","","2015-2016","Math","Level 3 & 4 Met or Exceeded Percent","Percent","29.7"
"Amistad Academy District","","2014-2015","ELA","Total Number of Students","Number","544"
"Amistad Academy District","","2014-2015","Math","Total Number of Students","Number","544"
"Amistad Academy District","","2014-2015","ELA","Total Number Tested","Number","541"
"Amistad Academy District","","2014-2015","Math","Total Number Tested","Number","540"
"Amistad Academy District","","2014-2015","ELA","Smarter Balanced Participation Rate","Percent","99.4"
"Amistad Academy District","","2014-2015","Math","Smarter Balanced Participation Rate","Percent","99.3"
"Amistad Academy District","","2014-2015","ELA","Total Number with Scored Tests","Number","541"
"Amistad Academy District","","2014-2015","Math","Total Number with Scored Tests","Number","540"
"Amistad Academy District","","2014-2015","ELA","Level 1 Not Met Count","Number","127"
"Amistad Academy District","","2014-2015","Math","Level 1 Not Met Count","Number","169"
"Amistad Academy District","","2014-2015","ELA","Level 1 Not Met Percent","Percent","23.5"
"Amistad Academy District","","2014-2015","Math","Level 1 Not Met Percent","Percent","31.3"
"Amistad Academy District","","2014-2015","ELA","Level 2 Approaching Count","Number","149"
"Amistad Academy District","","2014-2015","Math","Level 2 Approaching Count","Number","185"
"Amistad Academy District","","2014-2015","ELA","Level 2 Approaching Percent","Percent","27.5"
"Amistad Academy District","","2014-2015","Math","Level 2 Approaching Percent","Percent","34.3"
"Amistad Academy District","","2014-2015","ELA","Level 3 Met Count","Number","164"
"Amistad Academy District","","2014-2015","Math","Level 3 Met Count","Number","117"
"Amistad Academy District","","2014-2015","ELA","Level 3 Met Percent","Percent","30.3"
"Amistad Academy District","","2014-2015","Math","Level 3 Met Percent","Percent","21.7"
"Amistad Academy District","","2014-2015","ELA","Level 4 Exceeded Count","Number","101"
"Amistad Academy District","","2014-2015","Math","Level 4 Exceeded Count","Number","69"
"Amistad Academy District","","2014-2015","ELA","Level 4 Exceeded Percent","Percent","18.7"
"Amistad Academy District","","2014-2015","Math","Level 4 Exceeded Percent","Percent","12.8"
"Amistad Academy District","","2014-2015","ELA","Level 3 & 4 Met or Exceeded Count","Number","265"
"Amistad Academy District","","2014-2015","Math","Level 3 & 4 Met or Exceeded Count","Number","186"
"Amistad Academy District","","2014-2015","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","49.0"
"Amistad Academy District","","2014-2015","Math","Level 3 & 4 Met or Exceeded Percent","Percent","34.4"
"Amistad Academy District","","2015-2016","ELA","Total Number of Students","Number","538"
"Amistad Academy District","","2015-2016","Math","Total Number of Students","Number","538"
"Amistad Academy District","","2015-2016","ELA","Total Number Tested","Number","534"
"Amistad Academy District","","2015-2016","Math","Total Number Tested","Number","533"
"Amistad Academy District","","2015-2016","ELA","Smarter Balanced Participation Rate","Percent","99.3"
"Amistad Academy District","","2015-2016","Math","Smarter Balanced Participation Rate","Percent","99.1"
"Amistad Academy District","","2015-2016","ELA","Total Number with Scored Tests","Number","534"
"Amistad Academy District","","2015-2016","Math","Total Number with Scored Tests","Number","533"
"Amistad Academy District","","2015-2016","ELA","Level 1 Not Met Count","Number","109"
"Amistad Academy District","","2015-2016","Math","Level 1 Not Met Count","Number","119"
"Amistad Academy District","","2015-2016","ELA","Level 1 Not Met Percent","Percent","20.4"
"Amistad Academy District","","2015-2016","Math","Level 1 Not Met Percent","Percent","22.3"
"Amistad Academy District","","2015-2016","ELA","Level 2 Approaching Count","Number","134"
"Amistad Academy District","","2015-2016","Math","Level 2 Approaching Count","Number","161"
"Amistad Academy District","","2015-2016","ELA","Level 2 Approaching Percent","Percent","25.1"
"Amistad Academy District","","2015-2016","Math","Level 2 Approaching Percent","Percent","30.2"
"Amistad Academy District","","2015-2016","ELA","Level 3 Met Count","Number","199"
"Amistad Academy District","","2015-2016","Math","Level 3 Met Count","Number","139"
"Amistad Academy District","","2015-2016","ELA","Level 3 Met Percent","Percent","37.3"
"Amistad Academy District","","2015-2016","Math","Level 3 Met Percent","Percent","26.1"
"Amistad Academy District","","2015-2016","ELA","Level 4 Exceeded Count","Number","92"
"Amistad Academy District","","2015-2016","Math","Level 4 Exceeded Count","Number","114"
"Amistad Academy District","","2015-2016","ELA","Level 4 Exceeded Percent","Percent","17.2"
"Amistad Academy District","","2015-2016","Math","Level 4 Exceeded Percent","Percent","21.4"
"Amistad Academy District","","2015-2016","ELA","Level 3 & 4 Met or Exceeded Count","Number","291"
"Amistad Academy District","","2015-2016","Math","Level 3 & 4 Met or Exceeded Count","Number","253"
"Amistad Academy District","","2015-2016","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","54.5"
"Amistad Academy District","","2015-2016","Math","Level 3 & 4 Met or Exceeded Percent","Percent","47.5"
"Andover School District","","2014-2015","ELA","Total Number of Students","Number","167"
"Andover School District","","2014-2015","Math","Total Number of Students","Number","167"
"Andover School District","","2014-2015","ELA","Total Number Tested","Number","163"
"Andover School District","","2014-2015","Math","Total Number Tested","Number","165"
"Andover School District","","2014-2015","ELA","Smarter Balanced Participation Rate","Percent","97.6"
"Andover School District","","2014-2015","Math","Smarter Balanced Participation Rate","Percent","98.8"
"Andover School District","","2014-2015","ELA","Total Number with Scored Tests","Number","163"
"Andover School District","","2014-2015","Math","Total Number with Scored Tests","Number","165"
"Andover School District","","2014-2015","ELA","Level 1 Not Met Count","Number","6"
"Andover School District","","2014-2015","Math","Level 1 Not Met Count","Number","9"
"Andover School District","","2014-2015","ELA","Level 1 Not Met Percent","Percent","3.7"
"Andover School District","","2014-2015","Math","Level 1 Not Met Percent","Percent","5.5"
"Andover School District","","2014-2015","ELA","Level 2 Approaching Count","Number","27"
"Andover School District","","2014-2015","Math","Level 2 Approaching Count","Number","41"
"Andover School District","","2014-2015","ELA","Level 2 Approaching Percent","Percent","16.6"
"Andover School District","","2014-2015","Math","Level 2 Approaching Percent","Percent","24.8"
"Andover School District","","2014-2015","ELA","Level 3 Met Count","Number","43"
"Andover School District","","2014-2015","Math","Level 3 Met Count","Number","48"
"Andover School District","","2014-2015","ELA","Level 3 Met Percent","Percent","26.4"
"Andover School District","","2014-2015","Math","Level 3 Met Percent","Percent","29.1"
"Andover School District","","2014-2015","ELA","Level 4 Exceeded Count","Number","87"
"Andover School District","","2014-2015","Math","Level 4 Exceeded Count","Number","67"
"Andover School District","","2014-2015","ELA","Level 4 Exceeded Percent","Percent","53.4"
"Andover School District","","2014-2015","Math","Level 4 Exceeded Percent","Percent","40.6"
"Andover School District","","2014-2015","ELA","Level 3 & 4 Met or Exceeded Count","Number","130"
"Andover School District","","2014-2015","Math","Level 3 & 4 Met or Exceeded Count","Number","115"
"Andover School District","","2014-2015","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","79.8"
"Andover School District","","2014-2015","Math","Level 3 & 4 Met or Exceeded Percent","Percent","69.7"
"Andover School District","","2015-2016","ELA","Total Number of Students","Number","159"
"Andover School District","","2015-2016","Math","Total Number of Students","Number","159"
"Andover School District","","2015-2016","ELA","Total Number Tested","Number","156"
"Andover School District","","2015-2016","Math","Total Number Tested","Number","156"
"Andover School District","","2015-2016","ELA","Smarter Balanced Participation Rate","Percent","98.1"
"Andover School District","","2015-2016","Math","Smarter Balanced Participation Rate","Percent","98.1"
"Andover School District","","2015-2016","ELA","Total Number with Scored Tests","Number","156"
"Andover School District","","2015-2016","Math","Total Number with Scored Tests","Number","156"
"Andover School District","","2015-2016","ELA","Level 1 Not Met Count","Number","12"
"Andover School District","","2015-2016","Math","Level 1 Not Met Count","Number","8"
"Andover School District","","2015-2016","ELA","Level 1 Not Met Percent","Percent","7.7"
"Andover School District","","2015-2016","Math","Level 1 Not Met Percent","Percent","5.1"
"Andover School District","","2015-2016","ELA","Level 2 Approaching Count","Number","27"
"Andover School District","","2015-2016","Math","Level 2 Approaching Count","Number","35"
"Andover School District","","2015-2016","ELA","Level 2 Approaching Percent","Percent","17.3"
"Andover School District","","2015-2016","Math","Level 2 Approaching Percent","Percent","22.4"
"Andover School District","","2015-2016","ELA","Level 3 Met Count","Number","45"
"Andover School District","","2015-2016","Math","Level 3 Met Count","Number","54"
"Andover School District","","2015-2016","ELA","Level 3 Met Percent","Percent","28.8"
"Andover School District","","2015-2016","Math","Level 3 Met Percent","Percent","34.6"
"Andover School District","","2015-2016","ELA","Level 4 Exceeded Count","Number","72"
"Andover School District","","2015-2016","Math","Level 4 Exceeded Count","Number","59"
"Andover School District","","2015-2016","ELA","Level 4 Exceeded Percent","Percent","46.2"
"Andover School District","","2015-2016","Math","Level 4 Exceeded Percent","Percent","37.8"
"Andover School District","","2015-2016","ELA","Level 3 & 4 Met or Exceeded Count","Number","117"
"Andover School District","","2015-2016","Math","Level 3 & 4 Met or Exceeded Count","Number","113"
"Andover School District","","2015-2016","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","75.0"
"Andover School District","","2015-2016","Math","Level 3 & 4 Met or Exceeded Percent","Percent","72.4"
"Ansonia School District","900901220","2014-2015","ELA","Total Number of Students","Number","1225"
"Ansonia School District","900901220","2014-2015","Math","Total Number of Students","Number","1226"
"Ansonia School District","900901220","2014-2015","ELA","Total Number Tested","Number","1205"
"Ansonia School District","900901220","2014-2015","Math","Total Number Tested","Number","1207"
"Ansonia School District","900901220","2014-2015","ELA","Smarter Balanced Participation Rate","Percent","98.4"
"Ansonia School District","900901220","2014-2015","Math","Smarter Balanced Participation Rate","Percent","98.5"
"Ansonia School District","900901220","2014-2015","ELA","Total Number with Scored Tests","Number","1205"
"Ansonia School District","900901220","2014-2015","Math","Total Number with Scored Tests","Number","1207"
"Ansonia School District","900901220","2014-2015","ELA","Level 1 Not Met Count","Number","397"
"Ansonia School District","900901220","2014-2015","Math","Level 1 Not Met Count","Number","533"
"Ansonia School District","900901220","2014-2015","ELA","Level 1 Not Met Percent","Percent","32.9"
"Ansonia School District","900901220","2014-2015","Math","Level 1 Not Met Percent","Percent","44.2"
"Ansonia School District","900901220","2014-2015","ELA","Level 2 Approaching Count","Number","361"
"Ansonia School District","900901220","2014-2015","Math","Level 2 Approaching Count","Number","439"
"Ansonia School District","900901220","2014-2015","ELA","Level 2 Approaching Percent","Percent","30.0"
"Ansonia School District","900901220","2014-2015","Math","Level 2 Approaching Percent","Percent","36.4"
"Ansonia School District","900901220","2014-2015","ELA","Level 3 Met Count","Number","305"
"Ansonia School District","900901220","2014-2015","Math","Level 3 Met Count","Number","166"
"Ansonia School District","900901220","2014-2015","ELA","Level 3 Met Percent","Percent","25.3"
"Ansonia School District","900901220","2014-2015","Math","Level 3 Met Percent","Percent","13.8"
"Ansonia School District","900901220","2014-2015","ELA","Level 4 Exceeded Count","Number","142"
"Ansonia School District","900901220","2014-2015","Math","Level 4 Exceeded Count","Number","69"
"Ansonia School District","900901220","2014-2015","ELA","Level 4 Exceeded Percent","Percent","11.8"
"Ansonia School District","900901220","2014-2015","Math","Level 4 Exceeded Percent","Percent","5.7"
"Ansonia School District","900901220","2014-2015","ELA","Level 3 & 4 Met or Exceeded Count","Number","447"
"Ansonia School District","900901220","2014-2015","Math","Level 3 & 4 Met or Exceeded Count","Number","235"
"Ansonia School District","900901220","2014-2015","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","37.1"
"Ansonia School District","900901220","2014-2015","Math","Level 3 & 4 Met or Exceeded Percent","Percent","19.5"
"Ansonia School District","900901220","2015-2016","ELA","Total Number of Students","Number","1054"
"Ansonia School District","900901220","2015-2016","Math","Total Number of Students","Number","1054"
"Ansonia School District","900901220","2015-2016","ELA","Total Number Tested","Number","1037"
"Ansonia School District","900901220","2015-2016","Math","Total Number Tested","Number","1036"
"Ansonia School District","900901220","2015-2016","ELA","Smarter Balanced Participation Rate","Percent","98.4"
"Ansonia School District","900901220","2015-2016","Math","Smarter Balanced Participation Rate","Percent","98.3"
"Ansonia School District","900901220","2015-2016","ELA","Total Number with Scored Tests","Number","1037"
"Ansonia School District","900901220","2015-2016","Math","Total Number with Scored Tests","Number","1035"
"Ansonia School District","900901220","2015-2016","ELA","Level 1 Not Met Count","Number","389"
"Ansonia School District","900901220","2015-2016","Math","Level 1 Not Met Count","Number","418"
"Ansonia School District","900901220","2015-2016","ELA","Level 1 Not Met Percent","Percent","37.5"
"Ansonia School District","900901220","2015-2016","Math","Level 1 Not Met Percent","Percent","40.4"
"Ansonia School District","900901220","2015-2016","ELA","Level 2 Approaching Count","Number","294"
"Ansonia School District","900901220","2015-2016","Math","Level 2 Approaching Count","Number","367"
"Ansonia School District","900901220","2015-2016","ELA","Level 2 Approaching Percent","Percent","28.4"
"Ansonia School District","900901220","2015-2016","Math","Level 2 Approaching Percent","Percent","35.5"
"Ansonia School District","900901220","2015-2016","ELA","Level 3 Met Count","Number","249"
"Ansonia School District","900901220","2015-2016","Math","Level 3 Met Count","Number","175"
"Ansonia School District","900901220","2015-2016","ELA","Level 3 Met Percent","Percent","24.0"
"Ansonia School District","900901220","2015-2016","Math","Level 3 Met Percent","Percent","16.9"
"Ansonia School District","900901220","2015-2016","ELA","Level 4 Exceeded Count","Number","105"
"Ansonia School District","900901220","2015-2016","Math","Level 4 Exceeded Count","Number","75"
"Ansonia School District","900901220","2015-2016","ELA","Level 4 Exceeded Percent","Percent","10.1"
"Ansonia School District","900901220","2015-2016","Math","Level 4 Exceeded Percent","Percent","7.2"
"Ansonia School District","900901220","2015-2016","ELA","Level 3 & 4 Met or Exceeded Count","Number","354"
"Ansonia School District","900901220","2015-2016","Math","Level 3 & 4 Met or Exceeded Count","Number","250"
"Ansonia School District","900901220","2015-2016","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","34.1"
"Ansonia School District","900901220","2015-2016","Math","Level 3 & 4 Met or Exceeded Percent","Percent","24.2"
"Area Cooperative Educational Services","","2014-2015","ELA","Total Number of Students","Number","1297"
"Area Cooperative Educational Services","","2014-2015","Math","Total Number of Students","Number","1298"
"Area Cooperative Educational Services","","2014-2015","ELA","Total Number Tested","Number","1277"
"Area Cooperative Educational Services","","2014-2015","Math","Total Number Tested","Number","1275"
"Area Cooperative Educational Services","","2014-2015","ELA","Smarter Balanced Participation Rate","Percent","98.5"
"Area Cooperative Educational Services","","2014-2015","Math","Smarter Balanced Participation Rate","Percent","98.2"
"Area Cooperative Educational Services","","2014-2015","ELA","Total Number with Scored Tests","Number","1268"
"Area Cooperative Educational Services","","2014-2015","Math","Total Number with Scored Tests","Number","1272"
"Area Cooperative Educational Services","","2014-2015","ELA","Level 1 Not Met Count","Number","417"
"Area Cooperative Educational Services","","2014-2015","Math","Level 1 Not Met Count","Number","657"
"Area Cooperative Educational Services","","2014-2015","ELA","Level 1 Not Met Percent","Percent","32.9"
"Area Cooperative Educational Services","","2014-2015","Math","Level 1 Not Met Percent","Percent","51.7"
"Area Cooperative Educational Services","","2014-2015","ELA","Level 2 Approaching Count","Number","379"
"Area Cooperative Educational Services","","2014-2015","Math","Level 2 Approaching Count","Number","372"
"Area Cooperative Educational Services","","2014-2015","ELA","Level 2 Approaching Percent","Percent","29.9"
"Area Cooperative Educational Services","","2014-2015","Math","Level 2 Approaching Percent","Percent","29.2"
"Area Cooperative Educational Services","","2014-2015","ELA","Level 3 Met Count","Number","355"
"Area Cooperative Educational Services","","2014-2015","Math","Level 3 Met Count","Number","171"
"Area Cooperative Educational Services","","2014-2015","ELA","Level 3 Met Percent","Percent","28.0"
"Area Cooperative Educational Services","","2014-2015","Math","Level 3 Met Percent","Percent","13.4"
"Area Cooperative Educational Services","","2014-2015","ELA","Level 4 Exceeded Count","Number","117"
"Area Cooperative Educational Services","","2014-2015","Math","Level 4 Exceeded Count","Number","72"
"Area Cooperative Educational Services","","2014-2015","ELA","Level 4 Exceeded Percent","Percent","9.2"
"Area Cooperative Educational Services","","2014-2015","Math","Level 4 Exceeded Percent","Percent","5.7"
"Area Cooperative Educational Services","","2014-2015","ELA","Level 3 & 4 Met or Exceeded Count","Number","472"
"Area Cooperative Educational Services","","2014-2015","Math","Level 3 & 4 Met or Exceeded Count","Number","243"
"Area Cooperative Educational Services","","2014-2015","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","37.2"
"Area Cooperative Educational Services","","2014-2015","Math","Level 3 & 4 Met or Exceeded Percent","Percent","19.1"
"Area Cooperative Educational Services","","2015-2016","ELA","Total Number of Students","Number","1287"
"Area Cooperative Educational Services","","2015-2016","Math","Total Number of Students","Number","1287"
"Area Cooperative Educational Services","","2015-2016","ELA","Total Number Tested","Number","1275"
"Area Cooperative Educational Services","","2015-2016","Math","Total Number Tested","Number","1268"
"Area Cooperative Educational Services","","2015-2016","ELA","Smarter Balanced Participation Rate","Percent","99.1"
"Area Cooperative Educational Services","","2015-2016","Math","Smarter Balanced Participation Rate","Percent","98.5"
"Area Cooperative Educational Services","","2015-2016","ELA","Total Number with Scored Tests","Number","1274"
"Area Cooperative Educational Services","","2015-2016","Math","Total Number with Scored Tests","Number","1268"
"Area Cooperative Educational Services","","2015-2016","ELA","Level 1 Not Met Count","Number","480"
"Area Cooperative Educational Services","","2015-2016","Math","Level 1 Not Met Count","Number","638"
"Area Cooperative Educational Services","","2015-2016","ELA","Level 1 Not Met Percent","Percent","37.7"
"Area Cooperative Educational Services","","2015-2016","Math","Level 1 Not Met Percent","Percent","50.3"
"Area Cooperative Educational Services","","2015-2016","ELA","Level 2 Approaching Count","Number","319"
"Area Cooperative Educational Services","","2015-2016","Math","Level 2 Approaching Count","Number","361"
