"District","FIPS","Year","Subject","Variable","Measure Type","Value"
"Achievement First Bridgeport Academy District","","2014-2015","ELA","Total Number of Students","Number","564"
"Achievement First Bridgeport Academy District","","2014-2015","Math","Total Number of Students","Number","564"
"Achievement First Bridgeport Academy District","","2014-2015","ELA","Total Number Tested","Number","564"
"Achievement First Bridgeport Academy District","","2014-2015","Math","Total Number Tested","Number","562"
"Achievement First Bridgeport Academy District","","2014-2015","ELA","Smarter Balanced Participation Rate","Percent","100.0"
"Achievement First Bridgeport Academy District","","2014-2015","Math","Smarter Balanced Participation Rate","Percent","99.6"
"Achievement First Bridgeport Academy District","","2014-2015","ELA","Total Number with Scored Tests","Number","564"
"Achievement First Bridgeport Academy District","","2014-2015","Math","Total Number with Scored Tests","Number","562"
"Achievement First Bridgeport Academy District","","2014-2015","ELA","Level 1 Not Met Count","Number","196"
"Achievement First Bridgeport Academy District","","2014-2015","Math","Level 1 Not Met Count","Number","255"
"Achievement First Bridgeport Academy District","","2014-2015","ELA","Level 1 Not Met Percent","Percent","34.8"
"Achievement First Bridgeport Academy District","","2014-2015","Math","Level 1 Not Met Percent","Percent","45.4"
"Achievement First Bridgeport Academy District","","2014-2015","ELA","Level 2 Approaching Count","Number","164"
"Achievement First Bridgeport Academy District","","2014-2015","Math","Level 2 Approaching Count","Number","152"
"Achievement First Bridgeport Academy District","","2014-2015","ELA","Level 2 Approaching Percent","Percent","29.1"
"Achievement First Bridgeport Academy District","","2014-2015","Math","Level 2 Approaching Percent","Percent","27.0"
"Achievement First Bridgeport Academy District","","2014-2015","ELA","Level 3 Met Count","Number","131"
"Achievement First Bridgeport Academy District","","2014-2015","Math","Level 3 Met Count","Number","108"
"Achievement First Bridgeport Academy District","","2014-2015","ELA","Level 3 Met Percent","Percent","23.2"
"Achievement First Bridgeport Academy District","","2014-2015","Math","Level 3 Met Percent","Percent","19.2"
"Achievement First Bridgeport Academy District","","2014-2015","ELA","Level 4 Exceeded Count","Number","73"
"Achievement First Bridgeport Academy District","","2014-2015","Math","Level 4 Exceeded Count","Number","47"
"Achievement First Bridgeport Academy District","","2014-2015","ELA","Level 4 Exceeded Percent","Percent","12.9"
"Achievement First Bridgeport Academy District","","2014-2015","Math","Level 4 Exceeded Percent","Percent","8.4"
"Achievement First Bridgeport Academy District","","2014-2015","ELA","Level 3 & 4 Met or Exceeded Count","Number","204"
"Achievement First Bridgeport Academy District","","2014-2015","Math","Level 3 & 4 Met or Exceeded Count","Number","155"
"Achievement First Bridgeport Academy District","","2014-2015","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","36.2"
"Achievement First Bridgeport Academy District","","2014-2015","Math","Level 3 & 4 Met or Exceeded Percent","Percent","27.6"
"Achievement First Bridgeport Academy District","","2015-2016","ELA","Total Number of Students","Number","541"
